Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(L1)	
0	0	0	-6.95288e-310	0	0	0	0	
0.0005	0.157054	0.157054	0.157054	5.55112e-17	-3.07809e-17	0	-3.47644e-313	
0.001	0.313953	0.235426	0.235426	-7.85269e-05	7.85269e-05	7.85269e-05	7.85269e-05	
0.0015	0.470542	0.274302	0.274263	-0.00019624	0.00019624	0.00019624	0.00019624	
0.002	0.626666	0.293295	0.293158	-0.000333371	0.000333371	0.000333371	0.000333371	
0.0025	0.782172	0.302222	0.301918	-0.00047995	0.00047995	0.00047995	0.00047995	
0.003	0.936907	0.305997	0.305453	-0.000630909	0.000630909	0.000630909	0.000630909	
0.0035	1.09072	0.30708	0.306221	-0.000783636	0.000783636	0.000783636	0.000783636	
0.004	1.24345	0.306703	0.305452	-0.000936746	0.000936746	0.000936746	0.000936746	
0.0045	1.39496	0.305483	0.303764	-0.00108947	0.00108947	0.00108947	0.00108947	
0.005	1.54508	0.303731	0.301467	-0.00124135	0.00124135	0.00124135	0.00124135	
0.0055	1.69369	0.301602	0.298717	-0.00139209	0.00139209	0.00139209	0.00139209	
0.006	1.84062	0.299177	0.295596	-0.00154145	0.00154145	0.00154145	0.00154145	
0.0065	1.98574	0.296496	0.292144	-0.00168924	0.00168924	0.00168924	0.00168924	
0.007	2.1289	0.293581	0.288384	-0.00183532	0.00183532	0.00183532	0.00183532	
0.0075	2.26995	0.290445	0.284331	-0.00197951	0.00197951	0.00197951	0.00197951	
0.008	2.40877	0.287095	0.279991	-0.00212167	0.00212167	0.00212167	0.00212167	
0.0085	2.54521	0.283538	0.275374	-0.00226167	0.00226167	0.00226167	0.00226167	
0.009	2.67913	0.279778	0.270483	-0.00239936	0.00239936	0.00239936	0.00239936	
0.0095	2.81042	0.27582	0.265325	-0.0025346	0.0025346	0.0025346	0.0025346	
0.01	2.93893	0.271667	0.259904	-0.00266726	0.00266726	0.00266726	0.00266726	
0.0105	3.06454	0.267324	0.254228	-0.00279721	0.00279721	0.00279721	0.00279721	
0.011	3.18712	0.262795	0.2483	-0.00292433	0.00292433	0.00292433	0.00292433	
0.0115	3.30656	0.258084	0.242127	-0.00304848	0.00304848	0.00304848	0.00304848	
0.012	3.42274	0.253197	0.235716	-0.00316954	0.00316954	0.00316954	0.00316954	
0.0125	3.53553	0.248137	0.229071	-0.0032874	0.0032874	0.0032874	0.0032874	
0.013	3.64484	0.242911	0.222201	-0.00340193	0.00340193	0.00340193	0.00340193	
0.0135	3.75056	0.237522	0.215112	-0.00351303	0.00351303	0.00351303	0.00351303	
0.014	3.85257	0.231977	0.20781	-0.00362059	0.00362059	0.00362059	0.00362059	
0.0145	3.95078	0.226281	0.200304	-0.00372449	0.00372449	0.00372449	0.00372449	
0.015	4.04508	0.220439	0.1926	-0.00382465	0.00382465	0.00382465	0.00382465	
0.0155	4.1354	0.214457	0.184705	-0.00392095	0.00392095	0.00392095	0.00392095	
0.016	4.22164	0.208341	0.176629	-0.0040133	0.0040133	0.0040133	0.0040133	
0.0165	4.30371	0.202097	0.168378	-0.00410161	0.00410161	0.00410161	0.00410161	
0.017	4.38153	0.195732	0.159962	-0.0041858	0.0041858	0.0041858	0.0041858	
0.0175	4.45503	0.18925	0.151387	-0.00426578	0.00426578	0.00426578	0.00426578	
0.018	4.52414	0.182659	0.142663	-0.00434148	0.00434148	0.00434148	0.00434148	
0.0185	4.58877	0.175965	0.133799	-0.00441281	0.00441281	0.00441281	0.00441281	
0.019	4.64888	0.169175	0.124802	-0.00447971	0.00447971	0.00447971	0.00447971	
0.0195	4.7044	0.162295	0.115683	-0.00454211	0.00454211	0.00454211	0.00454211	
0.02	4.75528	0.155333	0.106449	-0.00459995	0.00459995	0.00459995	0.00459995	
0.0205	4.80147	0.148294	0.0971104	-0.00465317	0.00465317	0.00465317	0.00465317	
0.021	4.84292	0.141186	0.087676	-0.00470173	0.00470173	0.00470173	0.00470173	
0.0215	4.87958	0.134016	0.0781551	-0.00474557	0.00474557	0.00474557	0.00474557	
0.022	4.91144	0.126791	0.0685572	-0.00478465	0.00478465	0.00478465	0.00478465	
0.0225	4.93844	0.119518	0.0588917	-0.00481892	0.00481892	0.00481892	0.00481892	
0.023	4.96057	0.112204	0.0491682	-0.00484837	0.00484837	0.00484837	0.00484837	
0.0235	4.97781	0.104856	0.0393962	-0.00487295	0.00487295	0.00487295	0.00487295	
0.024	4.99013	0.0974819	0.0295855	-0.00489265	0.00489265	0.00489265	0.00489265	
0.0245	4.99753	0.0900883	0.0197456	-0.00490744	0.00490744	0.00490744	0.00490744	
0.025	5	0.0826827	0.00988626	-0.00491732	0.00491732	0.00491732	0.00491732	
0.0255	4.99753	0.0752724	1.72722e-05	-0.00492226	0.00492226	0.00492226	0.00492226	
0.026	4.99013	0.0678646	-0.00985165	-0.00492227	0.00492227	0.00492227	0.00492227	
0.0265	4.97781	0.0604666	-0.0197108	-0.00491734	0.00491734	0.00491734	0.00491734	
0.027	4.96057	0.0530857	-0.0295504	-0.00490749	0.00490749	0.00490749	0.00490749	
0.0275	4.93844	0.0457291	-0.0393607	-0.00489271	0.00489271	0.00489271	0.00489271	
0.028	4.91144	0.038404	-0.0491322	-0.00487303	0.00487303	0.00487303	0.00487303	
0.0285	4.87958	0.0311176	-0.058855	-0.00484847	0.00484847	0.00484847	0.00484847	
0.029	4.84292	0.0238772	-0.0685198	-0.00481904	0.00481904	0.00481904	0.00481904	
0.0295	4.80147	0.0166897	-0.0781168	-0.00478478	0.00478478	0.00478478	0.00478478	
0.03	4.75528	0.0095622	-0.0876366	-0.00474572	0.00474572	0.00474572	0.00474572	
