Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0	0	-6.95319e-310	-6.95319e-313	-6.95319e-313	-6.95319e-313	
0.001	0.313953	-6.94624e-310	-0.000313953	-0.000313953	-0.000313953	
0.002	0.626666	0.000313953	-0.000626352	-0.000626352	-0.000626352	
0.003	0.936907	0.000940305	-0.000935966	-0.000935966	-0.000935966	
0.004	1.24345	0.00187627	-0.00124157	-0.00124157	-0.00124157	
0.005	1.54508	0.00311784	-0.00154197	-0.00154197	-0.00154197	
0.006	1.84062	0.00465981	-0.00183596	-0.00183596	-0.00183596	
0.007	2.1289	0.00649577	-0.0021224	-0.0021224	-0.0021224	
0.008	2.40877	0.00861818	-0.00240015	-0.00240015	-0.00240015	
0.009	2.67913	0.0110183	-0.00266812	-0.00266812	-0.00266812	
0.01	2.93893	0.0136864	-0.00292524	-0.00292524	-0.00292524	
0.011	3.18712	0.0166117	-0.00317051	-0.00317051	-0.00317051	
0.012	3.42274	0.0197822	-0.00340295	-0.00340295	-0.00340295	
0.013	3.64484	0.0231851	-0.00362166	-0.00362166	-0.00362166	
0.014	3.85257	0.0268068	-0.00382576	-0.00382576	-0.00382576	
0.015	4.04508	0.0306326	-0.00401445	-0.00401445	-0.00401445	
0.016	4.22164	0.034647	-0.00418699	-0.00418699	-0.00418699	
0.017	4.38153	0.038834	-0.0043427	-0.0043427	-0.0043427	
0.018	4.52414	0.0431767	-0.00448096	-0.00448096	-0.00448096	
0.019	4.64888	0.0476577	-0.00460122	-0.00460122	-0.00460122	
0.02	4.75528	0.0522589	-0.00470302	-0.00470302	-0.00470302	
0.021	4.84292	0.0569619	-0.00478595	-0.00478595	-0.00478595	
0.022	4.91144	0.0617479	-0.00484969	-0.00484969	-0.00484969	
0.023	4.96057	0.0665976	-0.00489398	-0.00489398	-0.00489398	
0.024	4.99013	0.0714915	-0.00491864	-0.00491864	-0.00491864	
0.025	5	0.0764102	-0.00492359	-0.00492359	-0.00492359	
0.026	4.99013	0.0813338	-0.0049088	-0.0049088	-0.0049088	
0.027	4.96057	0.0862426	-0.00487433	-0.00487433	-0.00487433	
0.028	4.91144	0.0911169	-0.00482032	-0.00482032	-0.00482032	
0.029	4.84292	0.0959372	-0.00474698	-0.00474698	-0.00474698	
0.03	4.75528	0.100684	-0.0046546	-0.0046546	-0.0046546	
0.031	4.64888	0.105339	-0.00454354	-0.00454354	-0.00454354	
0.032	4.52414	0.109882	-0.00441425	-0.00441425	-0.00441425	
0.033	4.38153	0.114297	-0.00426724	-0.00426724	-0.00426724	
0.034	4.22164	0.118564	-0.00410308	-0.00410308	-0.00410308	
0.035	4.04508	0.122667	-0.00392242	-0.00392242	-0.00392242	
0.036	3.85257	0.126589	-0.00372598	-0.00372598	-0.00372598	
0.037	3.64484	0.130315	-0.00351453	-0.00351453	-0.00351453	
0.038	3.42274	0.13383	-0.00328891	-0.00328891	-0.00328891	
0.039	3.18712	0.137119	-0.00305	-0.00305	-0.00305	
0.04	2.93893	0.140169	-0.00279876	-0.00279876	-0.00279876	
0.041	2.67913	0.142967	-0.00253617	-0.00253617	-0.00253617	
0.042	2.40877	0.145504	-0.00226326	-0.00226326	-0.00226326	
0.043	2.1289	0.147767	-0.00198113	-0.00198113	-0.00198113	
