Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0	0	0	0	0	0	
0.001	0.313953	0.313953	5.55112e-17	0	0	
0.002	0.626666	0.312714	-0.000313953	-0.000313953	-0.000313953	
0.003	0.936907	0.31024	-0.000626666	-0.000626666	-0.000626666	
0.004	1.24345	0.306543	-0.000936907	-0.000936907	-0.000936907	
0.005	1.54508	0.301636	-0.00124345	-0.00124345	-0.00124345	
0.006	1.84062	0.295538	-0.00154508	-0.00154508	-0.00154508	
0.007	2.1289	0.288274	-0.00184062	-0.00184062	-0.00184062	
0.008	2.40877	0.279872	-0.0021289	-0.0021289	-0.0021289	
0.009	2.67913	0.270366	-0.00240877	-0.00240877	-0.00240877	
0.01	2.93893	0.259792	-0.00267913	-0.00267913	-0.00267913	
0.011	3.18712	0.248194	-0.00293893	-0.00293893	-0.00293893	
0.012	3.42274	0.235616	-0.00318712	-0.00318712	-0.00318712	
0.013	3.64484	0.222108	-0.00342274	-0.00342274	-0.00342274	
0.014	3.85257	0.207723	-0.00364484	-0.00364484	-0.00364484	
0.015	4.04508	0.192519	-0.00385257	-0.00385257	-0.00385257	
0.016	4.22164	0.176555	-0.00404508	-0.00404508	-0.00404508	
0.017	4.38153	0.159894	-0.00422164	-0.00422164	-0.00422164	
0.018	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.019	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
0.02	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.021	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.022	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.023	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.024	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.025	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.026	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.027	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.028	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.029	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.03	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.031	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.032	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.033	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.034	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.035	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.036	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.037	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.038	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.039	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.04	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.041	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.042	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.043	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.044	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.045	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.046	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.047	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
0.048	0.626666	-0.31024	-0.000936907	-0.000936907	-0.000936907	
0.049	0.313953	-0.312714	-0.000626666	-0.000626666	-0.000626666	
0.05	-1.04899e-14	-0.313953	-0.000313953	-0.000313953	-0.000313953	
0.051	-0.313953	-0.313953	-5.55112e-17	1.04916e-17	1.05168e-17	
0.052	-0.626666	-0.312714	0.000313953	0.000313953	0.000313953	
0.053	-0.936907	-0.31024	0.000626666	0.000626666	0.000626666	
0.054	-1.24345	-0.306543	0.000936907	0.000936907	0.000936907	
0.055	-1.54508	-0.301636	0.00124345	0.00124345	0.00124345	
0.056	-1.84062	-0.295538	0.00154508	0.00154508	0.00154508	
0.057	-2.1289	-0.288274	0.00184062	0.00184062	0.00184062	
0.058	-2.40877	-0.279872	0.0021289	0.0021289	0.0021289	
0.059	-2.67913	-0.270366	0.00240877	0.00240877	0.00240877	
0.06	-2.93893	-0.259792	0.00267913	0.00267913	0.00267913	
0.061	-3.18712	-0.248194	0.00293893	0.00293893	0.00293893	
0.062	-3.42274	-0.235616	0.00318712	0.00318712	0.00318712	
0.063	-3.64484	-0.222108	0.00342274	0.00342274	0.00342274	
0.064	-3.85257	-0.207723	0.00364484	0.00364484	0.00364484	
0.065	-4.04508	-0.192519	0.00385257	0.00385257	0.00385257	
0.066	-4.22164	-0.176555	0.00404508	0.00404508	0.00404508	
0.067	-4.38153	-0.159894	0.00422164	0.00422164	0.00422164	
0.068	-4.52414	-0.142602	0.00438153	0.00438153	0.00438153	
0.069	-4.64888	-0.124747	0.00452414	0.00452414	0.00452414	
0.07	-4.75528	-0.1064	0.00464888	0.00464888	0.00464888	
0.071	-4.84292	-0.0876332	0.00475528	0.00475528	0.00475528	
0.072	-4.91144	-0.0685204	0.00484292	0.00484292	0.00484292	
0.073	-4.96057	-0.0491373	0.00491144	0.00491144	0.00491144	
0.074	-4.99013	-0.0295601	0.00496057	0.00496057	0.00496057	
0.075	-5	-0.00986636	0.00499013	0.00499013	0.00499013	
0.076	-4.99013	0.00986636	0.005	0.005	0.005	
0.077	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.078	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.079	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.08	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.081	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.082	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.083	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.084	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.085	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.086	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
0.087	-3.64484	0.207723	0.00385257	0.00385257	0.00385257	
0.088	-3.42274	0.222108	0.00364484	0.00364484	0.00364484	
0.089	-3.18712	0.235616	0.00342274	0.00342274	0.00342274	
0.09	-2.93893	0.248194	0.00318712	0.00318712	0.00318712	
0.091	-2.67913	0.259792	0.00293893	0.00293893	0.00293893	
0.092	-2.40877	0.270366	0.00267913	0.00267913	0.00267913	
0.093	-2.1289	0.279872	0.00240877	0.00240877	0.00240877	
