Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(C2)	
0	0	-1.39058e-309	-6.95289e-310	-1.39058e-309	-1.39058e-309	-1.39058e-309	-1.39058e-309	
0.002	0.626666	-1.38502e-309	-6.92508e-310	-0.626666	-0.626666	-0.626666	-0.626666	
0.004	1.24345	0.00250666	0.00125333	-1.24094	-1.24094	-1.24094	-1.24094	
0.006	1.84062	0.00747044	0.00373522	-1.83315	-1.83315	-1.83315	-1.83315	
0.008	2.40877	0.014803	0.00740152	-2.39397	-2.39397	-2.39397	-2.39397	
0.01	2.93893	0.0243789	0.0121895	-2.91455	-2.91455	-2.91455	-2.91455	
0.012	3.42274	0.0360371	0.0180185	-3.3867	-3.3867	-3.3867	-3.3867	
0.014	3.85257	0.0495839	0.0247919	-3.80298	-3.80298	-3.80298	-3.80298	
0.016	4.22164	0.0647958	0.0323979	-4.15684	-4.15684	-4.15684	-4.15684	
0.018	4.52414	0.0814232	0.0407116	-4.44271	-4.44271	-4.44271	-4.44271	
0.02	4.75528	0.099194	0.049597	-4.65609	-4.65609	-4.65609	-4.65609	
0.022	4.91144	0.117818	0.0589092	-4.79362	-4.79362	-4.79362	-4.79362	
0.024	4.99013	0.136993	0.0684964	-4.85314	-4.85314	-4.85314	-4.85314	
0.026	4.99013	0.156405	0.0782027	-4.83373	-4.83373	-4.83373	-4.83373	
0.028	4.91144	0.17574	0.0878702	-4.7357	-4.7357	-4.7357	-4.7357	
0.03	4.75528	0.194683	0.0973416	-4.5606	-4.5606	-4.5606	-4.5606	
0.032	4.52414	0.212926	0.106463	-4.31121	-4.31121	-4.31121	-4.31121	
0.034	4.22164	0.23017	0.115085	-3.99147	-3.99147	-3.99147	-3.99147	
0.036	3.85257	0.246136	0.123068	-3.60643	-3.60643	-3.60643	-3.60643	
0.038	3.42274	0.260562	0.130281	-3.16217	-3.16217	-3.16217	-3.16217	
0.04	2.93893	0.273211	0.136605	-2.66572	-2.66572	-2.66572	-2.66572	
0.042	2.40877	0.283874	0.141937	-2.12489	-2.12489	-2.12489	-2.12489	
0.044	1.84062	0.292373	0.146187	-1.54825	-1.54825	-1.54825	-1.54825	
0.046	1.24345	0.298566	0.149283	-0.944883	-0.944883	-0.944883	-0.944883	
0.048	0.626666	0.302346	0.151173	-0.324321	-0.324321	-0.324321	-0.324321	
0.05	-8.26946e-15	0.303643	0.151821	0.303643	0.303643	0.303643	0.303643	
0.052	-0.626666	0.302428	0.151214	0.929095	0.929095	0.929095	0.929095	
0.054	-1.24345	0.298712	0.149356	1.54216	1.54216	1.54216	1.54216	
0.056	-1.84062	0.292543	0.146272	2.13317	2.13317	2.13317	2.13317	
0.058	-2.40877	0.284011	0.142005	2.69278	2.69278	2.69278	2.69278	
0.06	-2.93893	0.27324	0.13662	3.21217	3.21217	3.21217	3.21217	
0.062	-3.42274	0.260391	0.130195	3.68313	3.68313	3.68313	3.68313	
0.064	-3.85257	0.245658	0.122829	4.09822	4.09822	4.09822	4.09822	
0.066	-4.22164	0.229265	0.114633	4.45091	4.45091	4.45091	4.45091	
0.068	-4.52414	0.211462	0.105731	4.7356	4.7356	4.7356	4.7356	
0.07	-4.75528	0.192519	0.0962597	4.9478	4.9478	4.9478	4.9478	
0.072	-4.91144	0.172728	0.0863641	5.08416	5.08416	5.08416	5.08416	
0.074	-4.99013	0.152392	0.0761958	5.14253	5.14253	5.14253	5.14253	
0.076	-4.99013	0.131821	0.0659107	5.12196	5.12196	5.12196	5.12196	
0.078	-4.91144	0.111334	0.0556668	5.02277	5.02277	5.02277	5.02277	
0.08	-4.75528	0.0912426	0.0456213	4.84653	4.84653	4.84653	4.84653	
0.082	-4.52414	0.0718565	0.0359282	4.59599	4.59599	4.59599	4.59599	
0.084	-4.22164	0.0534725	0.0267363	4.27511	4.27511	4.27511	4.27511	
0.086	-3.85257	0.0363721	0.018186	3.88894	3.88894	3.88894	3.88894	
0.088	-3.42274	0.0208163	0.0104082	3.44355	3.44355	3.44355	3.44355	
0.09	-2.93893	0.00704212	0.00352106	2.94597	2.94597	2.94597	2.94597	
0.092	-2.40877	-0.00474176	-0.00237088	2.40403	2.40403	2.40403	2.40403	
0.094	-1.84062	-0.0143579	-0.00717893	1.82626	1.82626	1.82626	1.82626	
0.096	-1.24345	-0.0216629	-0.0108315	1.22179	1.22179	1.22179	1.22179	
0.098	-0.626666	-0.0265501	-0.013275	0.600116	0.600116	0.600116	0.600116	
0.1	2.09798e-14	-0.0289505	-0.0144753	-0.0289505	-0.0289505	-0.0289505	-0.0289505	
0.102	0.626666	-0.0288347	-0.0144174	-0.655501	-0.655501	-0.655501	-0.655501	
0.104	1.24345	-0.0262127	-0.0131064	-1.26966	-1.26966	-1.26966	-1.26966	
0.106	1.84062	-0.0211341	-0.010567	-1.86176	-1.86176	-1.86176	-1.86176	
0.108	2.40877	-0.0136871	-0.00684353	-2.42246	-2.42246	-2.42246	-2.42246	
0.11	2.93893	-0.00399723	-0.00199862	-2.94292	-2.94292	-2.94292	-2.94292	
0.112	3.42274	0.00777446	0.00388723	-3.41496	-3.41496	-3.41496	-3.41496	
0.114	3.85257	0.0214343	0.0107172	-3.83113	-3.83113	-3.83113	-3.83113	
0.116	4.22164	0.0367588	0.0183794	-4.18488	-4.18488	-4.18488	-4.18488	
